Metropolitan Area,City,STATE,Metro / Micro,Customers (State Level),Gross Sales (State Level),Total households,Owner-occupied housing units with a mortgage,"VALUE!!$1,000,000 or more",% Houses >$1m,VALUE!!Median (dollars)
"Kalamazoo-Portage, MI Metro Area",Kalamazoo-Portage,MI,Metro,18,43250,107110,42205,602,0.014263713,252700
"Gainesville, FL Metro Area",Gainesville,FL,Metro,0,0,142499,46248,656,0.014184397,292100
"Cedar City, UT Micro Area",Cedar City,UT,Micro,0,0,20157,8888,126,0.014176418,382800
"Waco, TX Metro Area",Waco,TX,Metro,18,43250,111178,35483,503,0.014175802,259300
"Crossville, TN Micro Area",Crossville,TN,Micro,4,3425,28195,11085,157,0.014163284,257800
"Concord, NH Micro Area",Concord,NH,Micro,20,30671,60901,28030,396,0.01412772,387600
"Snyder, TX Micro Area",Snyder,TX,Micro,0,0,5876,1919,27,0.014069828,155800
"Chambersburg, PA Metro Area",Chambersburg,PA,Metro,0,0,63510,28661,400,0.013956247,259400
"Bellefontaine, OH Micro Area",Bellefontaine,OH,Micro,2,58825,19560,9181,128,0.013941836,203400
"Killeen-Temple, TX Metro Area",Killeen-Temple,TX,Metro,1,425,177681,62740,872,0.013898629,251100
"Mitchell, SD Micro Area",Mitchell,SD,Micro,2,58825,10977,3686,51,0.013836137,219200
"Omaha, NE-IA Metro Area",Omaha,NE-IA,Metro,1,425,389812,170616,2351,0.013779481,279600
"Staunton-Stuarts Draft, VA Metro Area",Staunton-Stuarts Draft,VA,Metro,0,0,52233,22829,314,0.013754435,290800
"Corpus Christi, TX Metro Area",Corpus Christi,TX,Metro,2,2325,168972,52421,721,0.01375403,242300
"Buffalo-Cheektowaga, NY Metro Area",Buffalo-Cheektowaga,NY,Metro,1,3200,501549,188427,2589,0.013740069,239100
"Beaver Dam, WI Micro Area",Beaver Dam,WI,Micro,0,0,35910,15514,213,0.013729535,234400
"Liberal, KS Micro Area",Liberal,KS,Micro,4,3425,7257,1899,26,0.013691417,159800
"Mason City, IA Micro Area",Mason City,IA,Micro,0,0,22716,9147,125,0.013665683,168000
"Columbus, NE Micro Area",Columbus,NE,Micro,1,375,17365,5794,79,0.013634795,233900
"Morgan City, LA Micro Area",Morgan City,LA,Micro,0,0,18463,4487,61,0.01359483,172100
"Kenosha, WI Metro Area",Kenosha,WI,Metro,50,336933,68904,29721,404,0.013593082,273700
"Amsterdam, NY Micro Area",Amsterdam,NY,Micro,0,0,19603,7140,97,0.013585434,178700
"Little Rock-North Little Rock-Conway, AR Metro Area",Little Rock-North Little Rock-Conway,AR,Metro,2,1050,311547,120476,1621,0.013454962,228000
"Macon-Bibb County, GA Metro Area",Macon-Bibb County,GA,Metro,0,0,88590,30215,406,0.013437035,217900
"Jackson, MS Metro Area",Jackson,MS,Metro,0,0,237841,88389,1185,0.013406646,232200
"Grand Island, NE Metro Area",Grand Island,NE,Metro,3,12150,30296,10753,144,0.013391612,228400
"Paris, TX Micro Area",Paris,TX,Micro,0,0,24997,6648,89,0.013387485,233400
"Hermiston-Pendleton, OR Micro Area",Hermiston-Pendleton,OR,Micro,2,4925,33033,12733,170,0.013351135,299500
"Keene, NH Micro Area",Keene,NH,Micro,0,0,30620,13229,176,0.013304105,287200
"Washington Court House, OH Micro Area",Washington Court House,OH,Micro,20,30671,11582,4682,62,0.013242204,177000
"Fremont, NE Micro Area",Fremont,NE,Micro,2,2300,15168,5596,74,0.013223731,225900
"Valdosta, GA Metro Area",Valdosta,GA,Metro,50,336933,56786,20110,265,0.013177524,223400
"Pocatello, ID Metro Area",Pocatello,ID,Metro,0,0,33590,13704,180,0.013134851,321600
"Marquette, MI Micro Area",Marquette,MI,Micro,1,375,28255,10853,142,0.01308394,226600
"McAlester, OK Micro Area",McAlester,OK,Micro,0,0,17851,5832,76,0.01303155,168100
"Hot Springs, AR Metro Area",Hot Springs,AR,Metro,0,0,43667,14831,193,0.013013283,220100
"Las Vegas, NM Micro Area",Las Vegas,NM,Micro,0,0,13899,2781,36,0.012944984,200800
"Moses Lake, WA Micro Area",Moses Lake,WA,Micro,20,30671,35398,13342,172,0.01289162,329000
"Las Cruces, NM Metro Area",Las Cruces,NM,Metro,1,425,84889,28440,366,0.012869198,247800
"Yankton, SD Micro Area",Yankton,SD,Micro,2,58825,9695,3893,50,0.012843565,244100
"Hammond, LA Metro Area",Hammond,LA,Metro,0,0,51999,19966,256,0.012821797,237900
"Flint, MI Metro Area",Flint,MI,Metro,50,336933,167334,67015,859,0.012818026,209300
"Natchitoches, LA Micro Area",Natchitoches,LA,Micro,0,0,14508,3908,50,0.012794268,222500
"Massena-Ogdensburg, NY Micro Area",Massena-Ogdensburg,NY,Micro,50,336933,41666,14361,182,0.012673212,145000
"New Bern, NC Micro Area",New Bern,NC,Micro,0,0,52452,20463,257,0.012559253,232900
"Oshkosh-Neenah, WI Metro Area",Oshkosh-Neenah,WI,Metro,2,58825,72667,28855,362,0.012545486,223900
"Starkville, MS Micro Area",Starkville,MS,Micro,0,0,25913,6702,84,0.012533572,240200
"San Angelo, TX Metro Area",San Angelo,TX,Metro,0,0,47344,14960,186,0.012433155,217100
"Cornelia, GA Micro Area",Cornelia,GA,Micro,4,3425,16753,6274,78,0.01243226,250300
"Louisville/Jefferson County, KY-IN Metro Area",Louisville/Jefferson County,KY-IN,Metro,20,30671,558306,246934,3066,0.012416273,258100
"Maryville, MO Micro Area",Maryville,MO,Micro,3,12150,8460,2507,31,0.012365377,204100
"Clarksville, TN-KY Metro Area",Clarksville,TN-KY,Metro,6,12660,124867,49798,615,0.012349894,272400
"Union City, TN Micro Area",Union City,TN,Micro,0,0,12527,4051,50,0.012342631,150300
"Florence-Muscle Shoals, AL Metro Area",Florence-Muscle Shoals,AL,Metro,0,0,63559,21986,270,0.012280542,202600
"Greensboro-High Point, NC Metro Area",Greensboro-High Point,NC,Metro,3,12150,317045,123514,1514,0.01225772,247200
"Longview, TX Metro Area",Longview,TX,Metro,2,2325,108174,35029,426,0.012161352,222500
"Greenfield, MA Micro Area",Greenfield,MA,Micro,0,0,31570,13077,159,0.012158752,332500
"McComb, MS Micro Area",McComb,MS,Micro,2,4925,20297,5356,65,0.012135922,165100
"Meridian, MS Micro Area",Meridian,MS,Micro,0,0,34652,10550,128,0.012132701,177700
"Olean, NY Micro Area",Olean,NY,Micro,0,0,31895,10371,124,0.011956417,140600
"Springfield, MO Metro Area",Springfield,MO,Metro,50,336933,198884,78870,943,0.011956384,239300
"Paris, TN Micro Area",Paris,TN,Micro,1,375,13452,4204,50,0.011893435,177400
"Baton Rouge, LA Metro Area",Baton Rouge,LA,Metro,18,43250,332585,133907,1589,0.011866445,263400
"Shelby-Kings Mountain, NC Micro Area",Shelby-Kings Mountain,NC,Micro,0,0,38850,13957,165,0.011822025,222600
"Des Moines-West Des Moines, IA Metro Area",Des Moines-West Des Moines,IA,Metro,0,0,294814,139981,1646,0.011758739,277700
"Greeneville, TN Micro Area",Greeneville,TN,Micro,2,4925,28400,10900,128,0.011743119,216500
"Butte-Silver Bow, MT Micro Area",Butte-Silver Bow,MT,Micro,0,0,15419,6048,71,0.011739418,280800
"Bay City, TX Micro Area",Bay City,TX,Micro,2,58825,15439,3923,46,0.01172572,217000
"Arcadia, FL Micro Area",Arcadia,FL,Micro,4,3425,12824,3596,42,0.011679644,225800
"Grand Forks, ND-MN Metro Area",Grand Forks,ND-MN,Metro,50,336933,43655,14577,169,0.011593606,261500
"Freeport, IL Micro Area",Freeport,IL,Micro,50,336933,19358,6841,79,0.011548019,138400
"Blackfoot, ID Micro Area",Blackfoot,ID,Micro,0,0,16132,7511,86,0.011449874,332700
"Canton, IL Micro Area",Canton,IL,Micro,0,0,13795,4993,57,0.011415982,112500
"Spartanburg, SC Metro Area",Spartanburg,SC,Metro,1,425,143283,60392,688,0.011392237,244800
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Allentown-Bethlehem-Easton,PA-NJ,Metro,3,9021,339656,146478,1668,0.011387376,314700
"Coldwater, MI Micro Area",Coldwater,MI,Micro,1,375,16906,7213,82,0.011368363,165000
"Durant, OK Micro Area",Durant,OK,Micro,0,0,18397,5500,62,0.011272727,208500
"Lynchburg, VA Metro Area",Lynchburg,VA,Metro,2,58825,103401,42407,478,0.011271724,253700
"Rolla, MO Micro Area",Rolla,MO,Micro,0,0,17329,5608,63,0.011233951,214300
"Hemlock Farms, PA Micro Area",Hemlock Farms,PA,Micro,0,0,24262,13308,149,0.011196273,275400
"Albertville, AL Micro Area",Albertville,AL,Micro,1,375,36459,14599,163,0.011165148,225600
"Augusta-Waterville, ME Micro Area",Augusta-Waterville,ME,Micro,2,12595,54312,23563,263,0.011161567,245900
"Montgomery, AL Metro Area",Montgomery,AL,Metro,0,0,151438,59583,665,0.011160902,211600
"Michigan City-La Porte, IN Metro Area",Michigan City-La Porte,IN,Metro,4,3425,43633,19342,215,0.011115707,197300
"Carlsbad-Artesia, NM Micro Area",Carlsbad-Artesia,NM,Micro,2,1200,23620,8374,93,0.011105804,240000
"Atchison, KS Micro Area",Atchison,KS,Micro,2,2325,5735,1984,22,0.01108871,158900
"Bartlesville, OK Micro Area",Bartlesville,OK,Micro,0,0,20957,8027,89,0.011087579,191500
"Greenwood, MS Micro Area",Greenwood,MS,Micro,0,0,14461,3526,39,0.011060692,139300
"La Crosse-Onalaska, WI-MN Metro Area",La Crosse-Onalaska,WI-MN,Metro,0,0,72055,27770,307,0.011055095,264900
"Del Rio, TX Micro Area",Del Rio,TX,Micro,0,0,16810,5436,60,0.011037528,214600
"Okeechobee, FL Micro Area",Okeechobee,FL,Micro,2,4925,15113,4808,53,0.011023295,243800
"Frankfort, KY Micro Area",Frankfort,KY,Micro,0,0,32371,13271,146,0.011001432,227000
"Klamath Falls, OR Micro Area",Klamath Falls,OR,Micro,2,12595,28999,11117,122,0.010974184,307800
"Dubuque, IA Metro Area",Dubuque,IA,Metro,3,4175,40989,18502,203,0.010971787,238200
"Sunbury, PA Micro Area",Sunbury,PA,Micro,0,0,45748,17199,187,0.010872725,199500
"Wichita Falls, TX Metro Area",Wichita Falls,TX,Metro,1,3200,56774,17461,188,0.010766852,183100
"Somerset, PA Micro Area",Somerset,PA,Micro,20,30671,29344,10614,114,0.010740531,160800
"Homosassa Springs, FL Metro Area",Homosassa Springs,FL,Metro,2,58825,71291,27281,293,0.010740076,268400
"Tullahoma-Manchester, TN Micro Area",Tullahoma-Manchester,TN,Micro,0,0,25836,9685,104,0.010738255,275100
"Lubbock, TX Metro Area",Lubbock,TX,Metro,2,11835,140553,42867,457,0.010660881,232200
"Green Bay, WI Metro Area",Green Bay,WI,Metro,1,375,136101,58223,619,0.010631537,266400
"Scottsboro, AL Micro Area",Scottsboro,AL,Micro,0,0,21795,6679,71,0.010630334,191000
"Harrisburg-Carlisle, PA Metro Area",Harrisburg-Carlisle,PA,Metro,0,0,246084,102582,1088,0.010606149,261000
"Jasper, IN Micro Area",Jasper,IN,Micro,0,0,17574,7644,81,0.010596546,239800
"Sedalia, MO Micro Area",Sedalia,MO,Micro,20,30671,16996,6234,66,0.010587103,168800
"San Juan-Bayamón-Caguas, PR Metro Area",San Juan-Bayamón-Caguas,PR,Metro,3,2610,829535,235350,2483,0.010550244,160600
"Springfield, MA Metro Area",Springfield,MA,Metro,2,12595,184471,73667,773,0.010493165,304800
"Houma-Bayou Cane-Thibodaux, LA Metro Area",Houma-Bayou Cane-Thibodaux,LA,Metro,0,0,79889,29052,304,0.010463996,223000
"Red Wing, MN Micro Area",Red Wing,MN,Micro,0,0,19727,9653,101,0.010463068,289800
"Lakeland-Winter Haven, FL Metro Area",Lakeland-Winter Haven,FL,Metro,18,43250,289425,113908,1189,0.010438248,300000
"Bradford, PA Micro Area",Bradford,PA,Micro,0,0,16369,5848,61,0.010430917,118800
"Blacksburg-Christiansburg-Radford, VA Metro Area",Blacksburg-Christiansburg-Radford,VA,Metro,50,336933,70282,22632,236,0.010427713,263400
"Oneonta, NY Micro Area",Oneonta,NY,Micro,0,0,23189,8458,88,0.010404351,192400
"Cañon City, CO Micro Area",Cañon City,CO,Micro,6,7600,17976,6927,72,0.01039411,340100
"Hobbs, NM Micro Area",Hobbs,NM,Micro,0,0,24670,6848,71,0.010367991,239100
"Statesboro, GA Micro Area",Statesboro,GA,Micro,0,0,34933,10031,104,0.01036786,245000
"Burley, ID Micro Area",Burley,ID,Micro,3,12150,16602,6464,67,0.010365099,278400
"Baraboo, WI Micro Area",Baraboo,WI,Micro,2,4925,27987,12449,129,0.010362278,270800
"Parkersburg-Vienna, WV Metro Area",Parkersburg-Vienna,WV,Metro,4,3425,37877,14054,145,0.010317347,170600
"Bemidji, MN Micro Area",Bemidji,MN,Micro,2,58825,18172,6595,68,0.010310842,257200
"Yakima, WA Metro Area",Yakima,WA,Metro,0,0,87708,30884,318,0.010296594,342600
"Elkhart-Goshen, IN Metro Area",Elkhart-Goshen,IN,Metro,6,12660,72309,32754,337,0.01028882,215700
"Corinth, MS Micro Area",Corinth,MS,Micro,0,0,14456,4393,45,0.010243569,173000
"Cleveland, MS Micro Area",Cleveland,MS,Micro,2,12595,11915,3521,36,0.010224368,156000
"Wooster, OH Micro Area",Wooster,OH,Micro,2,12595,44365,19355,197,0.010178249,231400
"Cleveland, OH Metro Area",Cleveland,OH,Metro,0,0,931377,373586,3802,0.010177041,228800
"Talladega-Sylacauga, AL Micro Area",Talladega-Sylacauga,AL,Micro,0,0,38062,12729,129,0.010134339,172700
"Port Lavaca, TX Micro Area",Port Lavaca,TX,Micro,0,0,8670,3160,32,0.010126582,201100
"Hermitage, PA Micro Area",Hermitage,PA,Micro,2,4925,46524,16109,163,0.010118567,173600
"Morristown, TN Metro Area",Morristown,TN,Metro,0,0,47963,16905,171,0.01011535,228100
"Seneca Falls, NY Micro Area",Seneca Falls,NY,Micro,2,4925,13606,5159,52,0.010079473,162100
"Lufkin, TX Micro Area",Lufkin,TX,Micro,0,0,32271,9530,96,0.010073452,195000
"Muskegon-Norton Shores, MI Metro Area",Muskegon-Norton Shores,MI,Metro,0,0,67732,29912,301,0.010062851,211500
"Farmington, MO Micro Area",Farmington,MO,Micro,0,0,24816,10374,104,0.010025063,184300
"Amarillo, TX Metro Area",Amarillo,TX,Metro,6,12660,103062,35134,351,0.009990323,227900
"Stillwater, OK Micro Area",Stillwater,OK,Micro,2,4925,32609,9239,92,0.009957788,246700
"Platteville, WI Micro Area",Platteville,WI,Micro,2,2300,19960,7336,73,0.009950927,210700
"Wichita, KS Metro Area",Wichita,KS,Metro,2,2325,254776,99515,983,0.009877908,215400
"Jackson, TN Metro Area",Jackson,TN,Metro,1,375,72451,25627,253,0.0098724,205100
"Burlington, NC Metro Area",Burlington,NC,Metro,2,4925,70062,27818,273,0.00981379,267000
"Big Rapids, MI Micro Area",Big Rapids,MI,Micro,0,0,16708,6435,63,0.00979021,197000
"South Bend-Mishawaka, IN-MI Metro Area",South Bend-Mishawaka,IN-MI,Metro,0,0,128459,54328,530,0.009755559,207100
"Gulfport-Biloxi, MS Metro Area",Gulfport-Biloxi,MS,Metro,6,12660,167947,63370,618,0.009752249,222600
"Decatur, IN Micro Area",Decatur,IN,Micro,20,30671,12401,6372,62,0.009730069,189000
"Show Low, AZ Micro Area",Show Low,AZ,Micro,0,0,40063,9898,95,0.009597899,288000
"Manhattan, KS Metro Area",Manhattan,KS,Metro,0,0,51234,15410,147,0.00953926,245700
"Decatur, AL Metro Area",Decatur,AL,Metro,0,0,62667,23557,224,0.009508851,224000
"Searcy, AR Micro Area",Searcy,AR,Micro,50,336933,29629,10208,97,0.009502351,183500
"Pahrump, NV Micro Area",Pahrump,NV,Micro,0,0,22175,9267,87,0.009388152,319000
"Cedar Rapids, IA Metro Area",Cedar Rapids,IA,Metro,0,0,114000,54095,506,0.009353914,217200
"Springfield, OH Metro Area",Springfield,OH,Metro,2,12595,55975,23276,217,0.009322908,177900
"Selinsgrove, PA Micro Area",Selinsgrove,PA,Micro,2,58825,14600,5499,51,0.009274414,222200
"Putnam, CT Micro Area",Putnam,CT,Micro,0,0,39412,20936,194,0.009266335,304800
"Sebring, FL Metro Area",Sebring,FL,Metro,1,4600,46879,14107,130,0.009215283,244900
"Warsaw, IN Micro Area",Warsaw,IN,Micro,0,0,31934,15272,140,0.009167103,227600
"Galesburg, IL Micro Area",Galesburg,IL,Micro,2,58825,20972,7201,66,0.009165394,118900
"Mount Pleasant, TX Micro Area",Mount Pleasant,TX,Micro,50,336933,20868,5908,54,0.009140149,210900
"Kingsport-Bristol, TN-VA Metro Area",Kingsport-Bristol,TN-VA,Metro,0,0,130939,46412,424,0.009135568,218200
"Pottsville, PA Micro Area",Pottsville,PA,Micro,2,4925,57988,21010,191,0.009090909,172500
"Mount Sterling, KY Micro Area",Mount Sterling,KY,Micro,0,0,18181,7054,64,0.009072866,165300
"Syracuse, NY Metro Area",Syracuse,NY,Metro,18,43250,271251,108955,986,0.009049608,196000
"Auburn, NY Micro Area",Auburn,NY,Micro,2,11835,31524,11951,108,0.009036901,183700
"Warner Robins, GA Metro Area",Warner Robins,GA,Metro,3,12150,74449,32660,295,0.009032456,242500
"Morgantown, WV Metro Area",Morgantown,WV,Metro,0,0,57438,19215,173,0.009003383,261600
"Ruston, LA Micro Area",Ruston,LA,Micro,1,375,18487,4228,38,0.008987701,257300
"Columbus, GA-AL Metro Area",Columbus,GA-AL,Metro,0,0,127512,43619,392,0.008986909,231800
"Mobile, AL Metro Area",Mobile,AL,Metro,0,0,161665,61404,550,0.008957071,212600
"Waterbury-Shelton, CT Metro Area",Waterbury-Shelton,CT,Metro,0,0,180116,79910,715,0.008947566,325200
"Richmond-Berea, KY Micro Area",Richmond-Berea,KY,Micro,2,4925,49560,17786,159,0.008939615,224500
"Bowling Green, KY Metro Area",Bowling Green,KY,Metro,3,12150,73344,25650,228,0.008888889,243800
"Nogales, AZ Micro Area",Nogales,AZ,Micro,2,4925,16966,7441,66,0.008869776,236100
"Waterloo-Cedar Falls, IA Metro Area",Waterloo-Cedar Falls,IA,Metro,0,0,69396,29600,262,0.008851351,198000
"Sheboygan, WI Metro Area",Sheboygan,WI,Metro,6,7600,49725,21081,186,0.008823111,236600
"Magnolia, AR Micro Area",Magnolia,AR,Micro,0,0,8409,2730,24,0.008791209,191600
"Columbus, IN Metro Area",Columbus,IN,Metro,0,0,33359,15088,132,0.008748674,244200
"Dover, DE Metro Area",Dover,DE,Metro,2,12595,71424,34440,301,0.008739837,330900
"Lawton, OK Metro Area",Lawton,OK,Metro,2,2325,46938,15148,132,0.008714022,177800
"Owatonna, MN Micro Area",Owatonna,MN,Micro,2,4925,15138,7359,64,0.008696834,255900
"Glasgow, KY Micro Area",Glasgow,KY,Micro,3,9021,22117,7611,66,0.008671659,182400
"Cheyenne, WY Metro Area",Cheyenne,WY,Metro,0,0,43279,19750,170,0.008607595,361300
"Americus, GA Micro Area",Americus,GA,Micro,0,0,12625,4072,35,0.008595285,155100
"Jefferson City, MO Metro Area",Jefferson City,MO,Metro,18,43250,58587,23676,203,0.008574083,221600
"Appleton, WI Metro Area",Appleton,WI,Metro,1,375,99754,44511,379,0.008514749,279700
"Marshall, MO Micro Area",Marshall,MO,Micro,2,58825,8053,2944,25,0.008491848,156000
"Kearney, NE Micro Area",Kearney,NE,Micro,4,3425,22798,8630,73,0.008458864,260200
"Cordele, GA Micro Area",Cordele,GA,Micro,0,0,7908,2143,18,0.00839944,170200
"Watertown-Fort Drum, NY Metro Area",Watertown-Fort Drum,NY,Metro,0,0,47606,14774,124,0.008393123,205800
"Duluth, MN-WI Metro Area",Duluth,MN-WI,Metro,1,3200,120365,50356,422,0.008380332,236800
"Johnstown, PA Metro Area",Johnstown,PA,Metro,0,0,55973,19145,160,0.008357273,147300
"Lock Haven, PA Micro Area",Lock Haven,PA,Micro,1,375,15424,5808,48,0.008264463,193300
"Enterprise, AL Micro Area",Enterprise,AL,Micro,0,0,20984,8475,70,0.008259587,212300
"Calhoun, GA Micro Area",Calhoun,GA,Micro,2,58825,21348,9081,75,0.008259002,226500
"Hagerstown-Martinsburg, MD-WV Metro Area",Hagerstown-Martinsburg,MD-WV,Metro,0,0,118181,55363,457,0.00825461,289000
"Greenwood, SC Micro Area",Greenwood,SC,Micro,0,0,37646,12479,103,0.008253866,207900
"Greencastle, IN Micro Area",Greencastle,IN,Micro,2,2300,14142,7035,58,0.008244492,230800
"Faribault-Northfield, MN Micro Area",Faribault-Northfield,MN,Micro,0,0,23493,10843,89,0.00820806,328800
"Ketchikan, AK Micro Area",Ketchikan,AK,Micro,2,12595,5732,2442,20,0.008190008,416300
"Canton-Massillon, OH Metro Area",Canton-Massillon,OH,Metro,0,0,167161,69513,561,0.008070433,197300
"McPherson, KS Micro Area",McPherson,KS,Micro,4,3425,12162,5263,42,0.007980239,218500
"Binghamton, NY Metro Area",Binghamton,NY,Metro,18,43250,102352,35021,278,0.007938094,164000
"Effingham, IL Micro Area",Effingham,IL,Micro,0,0,18128,7338,58,0.007904061,180300
"Newberry, SC Micro Area",Newberry,SC,Micro,50,336933,15325,4935,39,0.007902736,213500
"Jacksonville, NC Metro Area",Jacksonville,NC,Metro,3,12150,75265,33940,268,0.007896288,246900
"Paducah, KY-IL Metro Area",Paducah,KY-IL,Metro,2,1050,41735,14915,117,0.007844452,183100
"Rochester, NY Metro Area",Rochester,NY,Metro,3,12150,445836,180771,1401,0.007750137,210300
"Reading, PA Metro Area",Reading,PA,Metro,0,0,163236,71060,550,0.007739938,266800
"Sanford, NC Micro Area",Sanford,NC,Micro,1,375,25145,10103,78,0.007720479,263600
"Odessa, TX Metro Area",Odessa,TX,Metro,3,2610,64563,19746,152,0.007697762,240200
"Vermillion, SD Micro Area",Vermillion,SD,Micro,0,0,5547,1691,13,0.007687759,248700
"Joplin, MO-KS Metro Area",Joplin,MO-KS,Metro,50,336933,79505,30677,235,0.007660462,175200
"Dalton, GA Metro Area",Dalton,GA,Metro,0,0,52080,17088,130,0.007607678,224200
"Lawrenceburg, TN Micro Area",Lawrenceburg,TN,Micro,2,2300,16991,6720,51,0.007589286,228700
"Wausau, WI Metro Area",Wausau,WI,Metro,50,336933,57866,24920,189,0.00758427,229800
"Kokomo, IN Metro Area",Kokomo,IN,Metro,20,30671,35593,16011,121,0.007557304,170700
"Wilmington, OH Micro Area",Wilmington,OH,Micro,0,0,16761,7291,55,0.007543547,218800
"Fairmont, MN Micro Area",Fairmont,MN,Micro,0,0,8839,3053,23,0.007533574,166600
"Fort Wayne, IN Metro Area",Fort Wayne,IN,Metro,50,336933,182145,81388,613,0.007531823,222100
"Ames, IA Metro Area",Ames,IA,Metro,0,0,49840,18112,136,0.007508834,256500
"Racine-Mount Pleasant, WI Metro Area",Racine-Mount Pleasant,WI,Metro,0,0,80406,37852,283,0.007476487,264600
"Sandusky, OH Metro Area",Sandusky,OH,Metro,0,0,50986,21222,158,0.007445104,209500
"Plymouth, IN Micro Area",Plymouth,IN,Micro,0,0,17758,7802,58,0.007433991,202500
"East Stroudsburg, PA Micro Area",East Stroudsburg,PA,Micro,0,0,61212,30712,228,0.007423808,274800
"Hinesville, GA Metro Area",Hinesville,GA,Metro,1,375,30160,10376,77,0.007420971,219800
"Brownwood, TX Micro Area",Brownwood,TX,Micro,0,0,14972,4458,33,0.007402423,171100
"Ozark, AL Micro Area",Ozark,AL,Micro,20,30671,19727,5815,43,0.007394669,167400
"Troy, AL Micro Area",Troy,AL,Micro,0,0,12484,3936,29,0.007367886,189300
"Orangeburg, SC Micro Area",Orangeburg,SC,Micro,2,58825,33077,7879,58,0.00736134,169700
"Hutchinson, MN Micro Area",Hutchinson,MN,Micro,2,4925,15215,6969,51,0.007318123,244800
"Camden, AR Micro Area",Camden,AR,Micro,2,2300,10314,3024,22,0.007275132,116900
"Gillette, WY Micro Area",Gillette,WY,Micro,0,0,17988,8502,61,0.007174782,283900
"Fort Madison, IA Micro Area",Fort Madison,IA,Micro,50,336933,14323,5617,40,0.007121239,150000
"Sturgis, MI Micro Area",Sturgis,MI,Micro,2,4925,23620,10117,72,0.007116734,187400
"Mexico, MO Micro Area",Mexico,MO,Micro,20,30671,9219,3273,23,0.007027192,152700
"Aberdeen, WA Micro Area",Aberdeen,WA,Micro,0,0,30628,12013,84,0.006992425,338900
"Tupelo, MS Micro Area",Tupelo,MS,Micro,0,0,51805,20513,143,0.006971189,188900
"Española, NM Micro Area",Española,NM,Micro,2,4925,15647,4169,29,0.006956105,285600
"Worthington, MN Micro Area",Worthington,MN,Micro,0,0,7674,2607,18,0.006904488,203400
"Chillicothe, OH Micro Area",Chillicothe,OH,Micro,0,0,29808,11368,78,0.006861365,184700
"Dickinson, ND Micro Area",Dickinson,ND,Micro,0,0,15515,5978,41,0.006858481,286600
"Jackson, MI Metro Area",Jackson,MI,Metro,1,375,62540,26515,181,0.006826325,204600
"Texarkana, TX-AR Metro Area",Texarkana,TX-AR,Metro,3,9021,56252,16866,115,0.006818451,191200
"Utica-Rome, NY Metro Area",Utica-Rome,NY,Metro,2,58825,120961,42618,286,0.006710779,191200
"Evansville, IN Metro Area",Evansville,IN,Metro,0,0,113966,49800,333,0.006686747,209300
"Weirton-Steubenville, WV-OH Metro Area",Weirton-Steubenville,WV-OH,Metro,3,3820,49642,16614,111,0.006681112,150100
"Hays, KS Micro Area",Hays,KS,Micro,2,58825,12251,4381,29,0.006619493,222800
"Elmira, NY Metro Area",Elmira,NY,Metro,0,0,35262,13163,87,0.006609436,152400
"Burlington, IA-IL Micro Area",Burlington,IA-IL,Micro,0,0,19882,7421,49,0.006602884,145600
"Roanoke Rapids, NC Micro Area",Roanoke Rapids,NC,Micro,4,3425,28240,8534,56,0.006561987,134300
"Anniston-Oxford, AL Metro Area",Anniston-Oxford,AL,Metro,6,12660,45015,15577,102,0.006548116,180300
"Pueblo, CO Metro Area",Pueblo,CO,Metro,3,2610,68523,30087,197,0.006547678,307000
"Beatrice, NE Micro Area",Beatrice,NE,Micro,2,12595,9327,3365,22,0.00653789,192300
"Washington, NC Micro Area",Washington,NC,Micro,6,7600,19385,6285,41,0.006523469,219000
"Lewisburg, TN Micro Area",Lewisburg,TN,Micro,20,30671,13622,6136,40,0.006518905,281300
"Dayton-Kettering-Beavercreek, OH Metro Area",Dayton-Kettering-Beavercreek,OH,Metro,2,1200,344391,138810,904,0.006512499,213300
"Scranton--Wilkes-Barre, PA Metro Area",Scranton--Wilkes-Barre,PA,Metro,3,2610,234230,83518,542,0.006489619,200100
"Enid, OK Metro Area",Enid,OK,Metro,20,30671,23893,8120,52,0.006403941,167800
"Owosso, MI Micro Area",Owosso,MI,Micro,50,336933,28126,12686,81,0.006384991,178400
"Saginaw, MI Metro Area",Saginaw,MI,Metro,0,0,77958,29133,186,0.006384512,166600
"Fayetteville, NC Metro Area",Fayetteville,NC,Metro,0,0,149016,55984,357,0.006376822,226400
"Brookings, SD Micro Area",Brookings,SD,Micro,2,11835,13798,4392,28,0.006375228,270400
"Toledo, OH Metro Area",Toledo,OH,Metro,2,2300,254486,96112,612,0.006367571,195700
"Salem, OH Micro Area",Salem,OH,Micro,0,0,41459,15247,97,0.006361907,162600
"Bangor, ME Metro Area",Bangor,ME,Metro,3,9021,65221,24708,157,0.006354217,237200
"Auburn, IN Micro Area",Auburn,IN,Micro,2,12595,17096,9028,57,0.006313691,194800
"Van Wert, OH Micro Area",Van Wert,OH,Micro,0,0,11549,5079,32,0.006300453,150800
"Rochelle, IL Micro Area",Rochelle,IL,Micro,2,12595,20821,9060,57,0.006291391,195500
"Lafayette-West Lafayette, IN Metro Area",Lafayette-West Lafayette,IN,Metro,2,1200,90706,33107,208,0.006282659,234400
"Batavia, NY Micro Area",Batavia,NY,Micro,0,0,24873,10995,69,0.00627558,177300
